12.12.2020 ariana - administrator - recuperare grad
18.12.2020 @rowan knocked on heaven's door#7686 - helper - făptaş a şustelor lui denis
19.12.2020 @rowan knocked on heaven's door#7686 - helper remove - neîndeplinirea raportului minim ( după o zi în staff )
23.12.2020 @iasmi#6666 - AV (1/2) - ban aiurea
27.12.2020 @mad#1337 - helper
27.12.2020 @iasmi#6666 - mod - remove - leave server in mod repetat
01.01.2021 @elis#0001 - helper
05.01.2021 @Elis#0001 - 1/3 cearta pe #➥║general║ 
05.01.2021 @mad#1337 - 1/3 cearta pe #➥║general║ 
08.01.2021 @mad - 1,5/3 instigare la cearta
10.01.2021 @elis#5540 - clear AV - activitate
10.01.2021 @mad#8975 - clear AV - activitate
12.01.2021 @elis - SW - spam emoji pentru a face raportul săptămânal
12.01.2021 @mad - SW - raport incomplet + neprezentare ședință
17.01.2021 @Elis#5540 - helper remove - 2/3, leave server + arfe de superior
19.01.2021 iasmi - helper
19.01.2021 @mad # 8975 - Av 2.5/3
19.01.2021 mad#8975 - clear AV  (2/3)
19.01.2021 mad#8975 - Av 3/3 
-remove helper || motiv : își caută cearta pe general și pe general staff
22.01.2021 iasmi - helper remove - renunțare (după 3 zile în staff)
03.02.2021 AndreiT - trial moderator
03.02.2021 Mangusta - trial moderator
07.02.2021 Vadim-Rafaela - AV - raport incomplet (0,5/3)
08.02.2021 Ariana - Staff-Manager, felicitări!
14.02.2021 @Vadim-Rafaela#8285 - remove 
14.02.2021 sou - 2.5 - neprezentare la sedinta, greșeli multiple (ex: neîndeplinirea completă a raportului)
14.02.2021 pjm - 1 sw - neprezentare la ședință și event
14.02.2021 sou - helper remove - renunțare
21.02.2021 pjm  - invoita pt o săptămână
22.02.2021 rowan - helper
24.02.2021 AndreiT - învoire timp de două săptămâni
27.02.2021 pjm - 2 , sw pt kick-uri aiurea
01.03.2021 Mangu - remove , n-are 2fa și nu încearcă 
07.03.2021 Pjm- clear sw 0/0
07.03.2021 Rowan- Av neprezentare ședința scz
07.03.2021 Kakashi- Av neprezentare ședința scuze
07.03.2021 Scubidu - helper 
07.03.2021 AndreiT bacc
12.03.2021 rowan - remove | drame
18.03.2021 AndreiT - remove | așa am decis eu
20.03.2021 pjm - avertisment incitare la darkweb nu știu așa am decis | 1.0
21.03.2021 Anca - admin na păcat
22.03.2021 kakashi - învoire două săptămâni
22.03.2021 iasmi -  helpper | buna purtare
22.03.2021 iasmi - moderator | 30 de mii de invite-uri
04.04.2021 !  AlexHust - moderator | buna purtare
04.04.2021 kakashi2570 - becc
05.04.2021 iasmi - învoire până ce își rezolvă problemele personale
11.04.2021 Matu- avertisment pentru ceva cu bump-uri am uitat sa scriu
12.04.2021 Anca- avertisment (unmute fara motiv) | 0,5 
16.04.2021 Matu - remove | lui dababy nu-i place de el
16.04.2021 Gunter - Helper | e secsi
16.04.2021 5theodora - Helper | are ochi frumoși
16.04.2021 Don Cumătru - Helper | yeah yeah
16.04.2021 eu sunt liiiil 𝓮𝓵𝓮𝓷𝓪?/?marmota - helper | bv
16.04.2021 Noemi - Helper | na csf
16.04.2021 Mimasu - Helper | bv
18.04.2021 eu sunt liiiil 𝓮𝓵𝓮𝓷𝓪?/?marmota - remove | dababy
18.04.2021 tankrusesc - remove | dababy
18.04.2021 mimasu - remove | dababy
18.04.2021 Idneys - remove | dababy
18.04.2021 TS.Cumătru - remove | dababy
20.04.2021 🐧Gυɳƚҽɾ Tԋҽ Kιɳɠ🐧 - Warn | abuz unmute
20.04.2021 Daani - Warn | comenzi pe general
21.04.2021 Kakashi - Remove | dababy
25.04.2021 🐧Gυɳƚҽɾ Tԋҽ Kιɳɠ🐧 - remove | dababy
25.04.2021 GAB♤ - remove | dababy
25.04.2021 iasmi - administrator | bv vtm
25.04.2021 AlexHust - administrator | bv vtm
25.04.2021 5theodora_ - moderator | bv vtm
25.04.2021 [Leader BHC] Radu - moderator | bv vtm
26.04.2021 bia. - Helper | gg
27.04.2021 Mesi - Trial Helper | greșeală fatală
29.04.2021 🐧Gυɳƚҽɾ Tԋҽ Kιɳɠ🐧 - Helper | gg
01.05.2021 mesi - Helper | gg
04.05.2021 🐧Gυɳƚҽɾ Tԋҽ Kιɳɠ🐧 - Warn | abuz nickname
08.05.2021 🐧Gυɳƚҽɾ Tԋҽ Kιɳɠ🐧 - Warn | Off-topic pe event neseriozitate 😤
09.05.2021 BHC Radu - remove | dababy
16.5.2021 mesi - Warn | Mute aiurea pt bump-uri
16.5.2021 iasmi - avertisment | ban gunter da' a fost amuzant gg
16.5.2021 Daani - Remove | None
16.5.2021 Daani - Helper | gg
16.5.2021 Daani - Remove | None
16.5.2021 mesi - Remove | None
16.5.2021 ! AlexHust - Remove | None
23.5.2021 🐧Gυɳƚҽɾ Tԋҽ Kιɳɠ🐧 - Warn | pa
23.5.2021 iasmi - Warn | rasism
5.6.2021 ستيفان  dar homofob - Remove | None
5.6.2021 Denis 😎 - Helper | gg
5.6.2021 iasmi - Helper | gg
5.6.2021 iasmi - Remove | None
5.6.2021 ! AlexHust - Remove | None
5.6.2021 5theodora_ - Remove | None
5.6.2021 Denis 😎 - Remove | None
7.6.2021 iasmi - Remove | None
29.6.2021 @canal
29.6.2021 test
5.7.2021 Licurici - Warn | necompletare raport
5.7.2021 mesi - Warn | necompletare raport
7.7.2021 None
11.7.2021 Licurici - Remove | activitate 0
11.7.2021 5theodora_ - Warn | activitate!!!!
18.7.2021 puscarieﾉᶜˣ - Warn | raport
21.7.2021 Denis 😎 - Warn | dababy
21.7.2021 Denis 😎 - Avertisment | dababy 
21.7.2021 Denis 😎 - Avertisment | dababy 
21.7.2021 Denis 😎 - Warn | ceva
21.7.2021 Denis 😎 - Helper | gg
21.7.2021 Denis 😎 - Remove | None
23.7.2021 tank rusesc - Helper | gg
23.7.2021 ☭Praise_the_communism☭ - Helper | gg
23.7.2021 SKRAWii - Helper | gg
28.7.2021 aura - Remove | None
28.7.2021 iutean - Helper | gg
28.7.2021 iutean - Remove | greșeală mate
8.8.2021 not.skrawii - Warn | "ieși în pula mea că ești ultimu milog neamuzant și irelevant nimeni nu te place in rasa mati de sclav"
7.12.2021 xerox - Remove | None
8.12.2021 UNEXIST® - Remove | None
8.12.2021 in rasa matii - Remove | None
8.12.2021 cofeina - Remove | None
8.12.2021 biancanextstar_ - Remove | None
8.12.2021 in rasa matii - Helper | gg
30.12.2021 in rasa matii - Remove | None
30.12.2021 !                      MadeinTYO - Remove | None
